"";"c1";"c2";"c3";"c4";"c5";"c6";"Cepa";"Fecha";"Lado"
"14";"1.94962389721305e-01";"5.76920586846555e-01";"1.52975263436189e-04";"1.62456893972500e-11";"2.78413462517446e-23";"1.06110633217066e-37";"E47";"F1";"D"
"15";"1.61811621763549e-01";"6.37695821873365e-01";"2.31740145264952e-04";"3.27760697049370e-11";"7.69824078087844e-23";"3.90749858180450e-37";"E47";"F1";"D"
"16";"2.61814676437494e-01";"4.75114239335359e-01";"7.35708828107412e-05";"4.79139267700135e-12";"4.79530900881446e-24";"1.12078970856249e-38";"E47";"F1";"D"
"17";"1.87019557575198e-01";"5.90764392567429e-01";"1.68313046783728e-04";"1.90808099614437e-11";"3.51355850481053e-23";"1.42947956973121e-37";"E47";"F1";"D"
"18";"1.53501030288533e-01";"6.54258934459244e-01";"2.59164386678418e-04";"3.96429010397174e-11";"1.01493446699152e-22";"5.57159892802983e-37";"E47";"F1";"D"
"19";"4.53100434034344e-01";"2.78545994725661e-01";"1.31127281669381e-05";"2.89299202734587e-13";"8.80218089613625e-26";"6.96941309540485e-41";"E47";"F1";"D"
"20";"1.25559502382134e-01";"7.14480195486404e-01";"3.88927204294748e-04";"7.94256303012696e-11";"2.79438157621474e-22";"2.04799926396611e-36";"E47";"F1";"D"
"21";"2.74744609341378e-01";"4.57996884194815e-01";"6.45970458853024e-05";"3.86453940310223e-12";"3.52285514961321e-24";"7.56365319432203e-39";"E47";"F1";"D"
"22";"1.58396884336549e-01";"6.44431875656738e-01";"2.42534702410307e-04";"3.54124525095739e-11";"8.61389931511557e-23";"4.51370994859970e-37";"E47";"F1";"D"
"23";"7.21022919683869e-13";"2.31193607615248e-05";"3.35605218381303e-01";"3.86195488110068e-01";"3.62332250570227e-05";"1.49636389533907e-12";"E47";"F2";"F"
"24";"1.64781722711932e-08";"7.46480660592111e-03";"9.99913636382613e-01";"1.62563766033712e-02";"1.40739043421334e-08";"8.21159637538330e-18";"E47";"F2";"F"
"25";"1.13644371354463e-09";"1.76456373300399e-03";"9.16345318579803e-01";"5.10622940952960e-02";"1.71383517388733e-07";"3.42737755069767e-16";"E47";"F2";"F"
"26";"8.31098313667737e-10";"1.48255651541515e-03";"8.96869915678969e-01";"5.74169411307860e-02";"2.24494219696252e-07";"5.15783562472075e-16";"E47";"F2";"F"
"27";"2.90611121997420e-09";"2.95635869428973e-03";"9.64206303006236e-01";"3.52019400925026e-02";"7.42038352576776e-08";"9.72242775588287e-17";"E47";"F2";"F"
"28";"2.60226228115262e-10";"7.70045008800852e-04";"8.12870034955556e-01";"8.63252602959852e-02";"5.88965442477931e-07";"2.24470014356143e-15";"E47";"F2";"F"
"29";"1.08789900484465e-10";"4.66727082200157e-04";"7.41324448002913e-01";"1.14139110596179e-01";"1.17172775626000e-06";"6.47447588700010e-15";"E47";"F2";"F"
"30";"3.86756775844060e-06";"1.02281384545340e-01";"6.02025086108293e-01";"5.71379947013055e-04";"2.17365141052512e-11";"7.40375505355050e-22";"E47";"F2";"F"
"31";"8.11368642358175e-10";"1.46280324541238e-03";"8.95310828550144e-01";"5.79286319221300e-02";"2.29154350494138e-07";"5.32107377587616e-16";"E47";"F2";"F"
"32";"2.25422734753142e-08";"8.78768401404575e-03";"9.97843145686791e-01";"1.39601709115449e-02";"1.02453192114741e-08";"5.14405602381039e-18";"E47";"F2";"F"
"33";"3.76919395981644e-10";"9.50443736056515e-04";"8.41386594088499e-01";"7.61421706010972e-02";"4.35653634093535e-07";"1.41489022125144e-15";"E47";"F2";"F"
"34";"3.57935811877221e-16";"1.76372465660271e-07";"5.17061783882264e-02";"9.14365461684977e-01";"1.73252049022579e-03";"1.09953103305697e-09";"E47";"F2";"D"
"35";"3.92910108021829e-12";"6.52487070991228e-05";"4.59305818101204e-01";"2.73736301081129e-01";"1.24540138199285e-05";"2.66373814471363e-13";"E47";"F2";"D"
"36";"1.50127227200222e-10";"5.61989272731926e-04";"7.68328425404323e-01";"1.03220795569776e-01";"9.12080119866426e-07";"4.39749171357189e-15";"E47";"F2";"D"
"37";"4.11600890763613e-11";"2.64941629995376e-04";"6.57529054514672e-01";"1.51893987977862e-01";"2.43642047982901e-06";"2.01989882669781e-14";"E47";"F2";"D"
"38";"1.11374481130161e-09";"1.74491750415700e-03";"9.15137773361896e-01";"5.14549814604623e-02";"1.74415838901839e-07";"3.51948083228744e-16";"E47";"F2";"D"
"39";"1.35052738921167e-10";"5.28774976501716e-04";"7.59518924036478e-01";"1.06722953666992e-01";"9.90769100204669e-07";"4.99624158076475e-15";"E47";"F2";"D"
"40";"1.19107222667132e-12";"3.14989943268050e-05";"3.69925776338129e-01";"3.51095225033632e-01";"2.66495414935598e-05";"9.07719801071403e-13";"E47";"F2";"D"
"41";"6.53370553187146e-09";"4.57705383594534e-03";"9.90326924830152e-01";"2.48975600720316e-02";"3.48173944442037e-08";"3.14142147719226e-17";"E47";"F2";"D"
"42";"2.59678469231502e-11";"2.02003966525744e-04";"6.17447027243689e-01";"1.72375443956130e-01";"3.40535283880530e-06";"3.41184701645739e-14";"E47";"F2";"D"
"43";"2.50839785637984e-09";"2.72842774000664e-03";"9.57863339309032e-01";"3.73913655303693e-02";"8.48416944885772e-08";"1.18858117305892e-16";"E47";"F2";"D"
"44";"4.96407938654520e-11";"2.95687275664227e-04";"6.73828540193756e-01";"1.44043961947800e-01";"2.12157669763346e-06";"1.62763167120491e-14";"E47";"F2";"D"
"45";"1.50459850983592e-44";"1.07691813083111e-28";"2.38585701425115e-15";"6.12855676127955e-07";"8.77539854003244e-02";"8.08969947599327e-01";"E47";"F3";"F"
"46";"8.14982769747833e-44";"4.14685237838868e-28";"6.31203204404281e-15";"1.15263308713396e-06";"1.13393618529151e-01";"7.43125630372237e-01";"E47";"F3";"F"
"47";"1.00459806817857e-43";"4.89922211546375e-28";"7.11703096963251e-15";"1.24561946214121e-06";"1.16951022748083e-01";"7.34585400108489e-01";"E47";"F3";"F"
"48";"4.51898391522159e-42";"1.00983083427527e-26";"6.21728389561655e-14";"4.98609179109855e-06";"1.98408033833907e-01";"5.71045301871995e-01";"E47";"F3";"F"
"49";"4.71592945338635e-38";"1.47717105947769e-23";"1.04737954134612e-11";"1.17738721600062e-04";"5.39559725073904e-01";"2.17673967419352e-01";"E47";"F3";"F"
"50";"5.26758238401356e-41";"7.05555690544978e-26";"2.47381212514471e-13";"1.18915485951869e-05";"2.69476403519690e-01";"4.64883553874596e-01";"E47";"F3";"F"
"51";"1.27961884906603e-39";"8.72584511618106e-25";"1.45589654273895e-12";"3.56294505307236e-05";"3.84219190122414e-01";"3.37449975633655e-01";"E47";"F3";"F"
"52";"8.62878643881210e-41";"1.04194517298629e-25";"3.25951500553971e-13";"1.41253712230393e-05";"2.85597828150344e-01";"4.44174400390879e-01";"E47";"F3";"F"
"53";"1.60778068565934e-41";"2.76008658468106e-26";"1.27148620168123e-13";"7.83356207778080e-06";"2.33235765155843e-01";"5.15696903897373e-01";"E47";"F3";"F"
"54";"1.42963166025264e-39";"9.52071953059435e-25";"1.54768795772817e-12";"3.69896955160872e-05";"3.88634454961201e-01";"3.33342273213331e-01";"E47";"F3";"F"
