ID;Temperatura;Tiempo;Dia;HEC1;HEC2;HEC3;HEC4;HEC5;BEC1;BEC2;BEC3;BEC4;BEC5;HIC1;HIC2;HIC3;HIC4;HIC5;BIC1;BIC2;BIC3;BIC4;BIC5;HCC1;HCC2;HCC3;HCC4;HCC5;BCC1;BCC2;BCC3;BCC4;BCC5
I099;T40;h2[0.25a0.5);miercoles;0.0004165140000000000;3.2258266250000000000;96.5839582100000000000;11.1794864900000000000;0.0050025520000000000;0.0075322370000000000;13.5216644800000000000;93.8402679000000000000;2.5176838900000000000;0.0002611360000000000;0.0019818760000000000;7.1534841250000000000;99.8186312800000000000;5.3846624230000000000;0.0011229440000000000;0.0008791570000000000;4.7540432700000000000;99.3831279500000000000;8.0318404170000000000;0.0025094030000000000;0.0079946230000000000;13.8958932900000000000;93.3744026000000000000;2.4256161770000000000;0.0002435950000000000;0.0004291790000000000;3.2770708490000000000;96.7356493200000000000;11.0392647700000000000;0.0048701980000000000
I100;T40;h3[0.5a0.75);miercoles;0.0078851780000000000;13.8085216900000000000;93.4836748000000000000;2.4466804050000000000;0.0002475550000000000;0.0006252280000000000;3.9886048320000000000;98.3686268500000000000;9.3787527180000000000;0.0034568970000000000;0.0128529270000000000;17.2089879200000000000;89.0761598100000000000;1.7824629860000000000;0.0001378900000000000;0.0006711680000000000;4.1377664310000000000;98.6173863600000000000;9.0864425060000000000;0.0032365860000000000;0.0110335460000000000;16.0776300600000000000;90.5694724300000000000;1.9723978600000000000;0.0001660580000000000;0.0006052450000000000;3.9219463620000000000;98.2482355300000000000;9.5148237400000000000;0.0035622930000000000
I101;T40;h3[0.5a0.75);miercoles;0.0024890850000000000;8.0000383030000000000;99.4024985600000000000;4.7748025120000000000;0.0008866790000000000;0.0006252280000000000;3.9886048320000000000;98.3686268500000000000;9.3787527180000000000;0.0034568970000000000;0.0255692350000000000;23.1643849900000000000;81.1291058000000000000;1.0984631250000000000;0.0000575000000000000;0.0000597000000000000;1.1219912740000000000;81.4985477100000000000;22.8856440200000000000;0.0248444440000000000;0.0037139610000000000;9.7066396200000000000;98.0738807000000000000;3.8308107120000000000;0.0005784700000000000;0.0002822970000000000;2.6247463280000000000;94.3454999200000000000;13.1101578800000000000;0.0070428350000000000
I102;T40;h3[0.5a0.75);miercoles;0.0102056610000000000;15.5242662900000000000;91.2922495600000000000;2.0754372740000000000;0.0001824060000000000;0.0030642240000000000;8.8497370000000000000;98.8082348300000000000;4.2648994410000000000;0.0007116680000000000;0.0054695780000000000;11.6575767700000000000;96.0540441600000000000;3.0596792650000000000;0.0003767810000000000;0.0009400810000000000;4.9195737050000000000;99.5273650500000000000;7.7841360820000000000;0.0023535920000000000;0.0151551210000000000;18.5047673200000000000;87.3495627100000000000;1.5940088200000000000;0.0001124540000000000;0.0001486360000000000;1.8569672000000000000;89.6887115700000000000;16.7465062500000000000;0.0120882530000000000
I103;T40;h4[0.75a1.00);miercoles;0.0004894350000000000;3.5109156380000000000;97.3640740400000000000;10.4383044600000000000;0.0043262740000000000;0.0089727120000000000;14.6463426300000000000;92.4245904200000000000;2.2547518820000000000;0.0002126490000000000;0.0010068420000000000;5.0945421440000000000;99.6556500500000000000;7.5361853610000000000;0.0022032010000000000;0.0004768680000000000;3.4634186330000000000;97.2444864000000000000;10.5554769800000000000;0.0044293870000000000;0.0078116200000000000;13.7493866400000000000;93.5574619700000000000;2.4610838870000000000;0.0002502810000000000;0.0004927290000000000;3.5232612000000000000;97.3945190400000000000;10.4082345800000000000;0.0043000400000000000
I104;T40;h4[0.75a1.00);miercoles;0.0020530620000000000;7.2790530130000000000;99.7701244200000000000;5.2866313080000000000;0.0010829550000000000;0.0039102950000000000;9.9483670900000000000;97.8468676500000000000;3.7204453600000000000;0.0005468850000000000;0.0037734520000000000;9.7806472500000000000;98.0052177400000000000;3.7965023950000000000;0.0005685530000000000;0.0018177530000000000;6.8541250090000000000;99.9130215500000000000;5.6304751140000000000;0.0012266510000000000;0.0011162010000000000;5.3682655210000000000;99.8109658600000000000;7.1742318270000000000;0.0019935420000000000;0.0006479440000000000;4.0630496630000000000;98.4962550400000000000;9.2308179140000000000;0.0033443640000000000
I105;T40;h4[0.75a1.00);miercoles;0.0010989560000000000;5.3260845130000000000;99.7904245000000000000;7.2280735820000000000;0.0020239940000000000;0.0056064330000000000;11.7930835900000000000;95.9005338300000000000;3.0148627850000000000;0.0003664100000000000;0.0032727500000000000;9.1351883240000000000;98.5768767800000000000;4.1123065550000000000;0.0006632070000000000;0.0010742640000000000;5.2650708060000000000;99.7585799500000000000;7.3071694580000000000;0.0020691930000000000;0.0187988960000000000;20.3208516500000000000;84.9188979500000000000;1.3718912050000000000;0.0000857000000000000;0.0000893000000000000;1.4034619030000000000;85.2948550500000000000;20.0400094100000000000;0.0182022840000000000
I106;T40;h5[1.00a1.25);miercoles;0.0125020260000000000;16.9989596100000000000;89.3546515600000000000;1.8157868540000000000;0.0001426480000000000;0.0021141230000000000;7.3848491010000000000;99.7254211900000000000;5.2062259340000000000;0.0010507350000000000;0.0125982090000000000;17.0568923200000000000;89.2778835400000000000;1.8065115510000000000;0.0001413160000000000;0.0001245100000000000;1.6856444200000000000;88.2229132500000000000;17.8504718500000000000;0.0139627480000000000;0.0009035790000000000;4.8211054250000000000;99.4443591600000000000;7.9298789270000000000;0.0024445890000000000;0.0000715000000000000;1.2411417460000000000;83.2357998600000000000;21.5800183400000000000;0.0216294930000000000
I107;T40;h5[1.00a1.25);miercoles;0.0011671750000000000;5.4909325570000000000;99.8640772100000000000;7.0214265220000000000;0.0019085090000000000;0.0084658200000000000;14.2640022100000000000;92.9108975400000000000;2.3396171260000000000;0.0002277590000000000;0.0007486810000000000;4.3778128940000000000;98.9624856600000000000;8.6484219880000000000;0.0029218370000000000;0.0005857470000000000;3.8557912800000000000;98.1228210500000000000;9.6533802380000000000;0.0036714840000000000;0.0060220780000000000;12.1930233900000000000;95.4397535400000000000;2.8880192910000000000;0.0003378500000000000;0.0004599020000000000;3.3982666210000000000;97.0739380000000000000;10.7201466000000000000;0.0045766920000000000
I108;T40;h5[1.00a1.25);miercoles;0.0005161990000000000;3.6100224710000000000;97.6012634500000000000;10.2012608400000000000;0.0041219730000000000;0.0034627580000000000;9.3863812190000000000;98.3619521700000000000;3.9848223870000000000;0.0006240850000000000;0.0293820770000000000;24.5502416300000000000;79.3015946400000000000;0.9902867040000000000;0.0000478000000000000;0.0005857470000000000;3.8557912800000000000;98.1228210500000000000;9.6533802380000000000;0.0036714840000000000;0.0110089480000000000;16.0615659800000000000;90.5905366400000000000;1.9752890530000000000;0.0001665070000000000;0.0000829000000000000;1.3473852050000000000;84.6193146700000000000;20.5447145500000000000;0.0192833990000000000
