id;V1;V2;V3;V4;V5;V6;V7;V8;V9;LOCALIDAD;PARAMETRO;ANO
I83;0;0.0001;0.3086;0.863;0.0717;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a1985
I84;0;0;0.0889;0.9996;0.1923;0.0021;0;0;0.0001;La31.75Lo69.25;WS50M;a1986
I85;0;0.0001;0.2635;0.9008;0.0843;0.0005;0;0;0.0001;La31.75Lo69.25;WS50M;a1987
I86;0;0.0001;0.288;0.8804;0.0771;0.0005;0;0;0.0001;La31.75Lo69.25;WS50M;a1988
I87;0;0.0001;0.3301;0.8447;0.0666;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a1989
I88;0;0.0001;0.3301;0.8447;0.0666;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a1990
I89;0;0.0001;0.2982;0.8718;0.0743;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a1991
I90;0;0;0.168;0.9721;0.1248;0.001;0;0;0.0001;La31.75Lo69.25;WS50M;a1992
I91;0;0.0001;0.254;0.9085;0.0874;0.0006;0;0;0.0001;La31.75Lo69.25;WS50M;a1993
I92;0;0;0.2059;0.946;0.1057;0.0008;0;0;0.0001;La31.75Lo69.25;WS50M;a1994
I93;0;0;0.2357;0.9231;0.0937;0.0006;0;0;0.0001;La31.75Lo69.25;WS50M;a1995
I94;0;0.0006;0.4738;0.7206;0.0418;0.0002;0;0;0;La31.75Lo69.25;WS50M;a1996
I95;0;0;0.1576;0.9783;0.1311;0.0011;0;0;0.0001;La31.75Lo69.25;WS50M;a1997
I96;0;0.0021;0.6335;0.5834;0.0253;0.0001;0;0;0;La31.75Lo69.25;WS50M;a1998
I97;0;0.0004;0.4172;0.7695;0.05;0.0002;0;0;0;La31.75Lo69.25;WS50M;a1999
I98;0;0.0001;0.2982;0.8718;0.0743;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2000
I99;0;0.0001;0.3034;0.8674;0.073;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2001
I100;0;0;0.227;0.93;0.097;0.0007;0;0;0.0001;La31.75Lo69.25;WS50M;a2002
I101;0;0.0001;0.3086;0.863;0.0717;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2003
I102;0;0.0001;0.3086;0.863;0.0717;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2004
I103;0;0;0.21;0.9429;0.1039;0.0008;0;0;0.0001;La31.75Lo69.25;WS50M;a2005
I104;0;0;0.2402;0.9196;0.0921;0.0006;0;0;0.0001;La31.75Lo69.25;WS50M;a2006
I105;0;0.0003;0.3812;0.8007;0.0561;0.0003;0;0;0.0001;La31.75Lo69.25;WS50M;a2007
I106;0;0.0001;0.3193;0.854;0.0691;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2008
I107;0;0.0001;0.3086;0.863;0.0717;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2009
I108;0;0.0001;0.3086;0.863;0.0717;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2010
I109;0;0.0001;0.2982;0.8718;0.0743;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2011
I110;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo69.25;WS50M;a2012
I111;0;0.0001;0.2931;0.8761;0.0757;0.0005;0;0;0.0001;La31.75Lo69.25;WS50M;a2013
I112;0;0;0.2357;0.9231;0.0937;0.0006;0;0;0.0001;La31.75Lo69.25;WS50M;a2014
I113;0;0;0.2357;0.9231;0.0937;0.0006;0;0;0.0001;La31.75Lo69.25;WS50M;a2015
I114;0;0.0006;0.4674;0.7261;0.0426;0.0002;0;0;0;La31.75Lo69.25;WS50M;a2016
I115;0;0;0.2226;0.9333;0.0987;0.0007;0;0;0.0001;La31.75Lo69.25;WS50M;a2017
I116;0;0.0001;0.3139;0.8585;0.0704;0.0004;0;0;0.0001;La31.75Lo69.25;WS50M;a2018
I117;0;0.0002;0.3637;0.8158;0.0594;0.0003;0;0;0.0001;La31.75Lo69.25;WS50M;a2019
I118;0;0.0063;0.7827;0.4538;0.0151;0;0;0;0;La31.75Lo69.25;WS10M;a1981
I119;0;0.0009;0.5195;0.6812;0.0362;0.0002;0;0;0;La31.75Lo69.25;WS10M;a1982
I120;0;0.006;0.7766;0.4592;0.0154;0;0;0;0;La31.75Lo69.25;WS10M;a1983
I121;0;0.0032;0.6935;0.5318;0.0207;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1984
I122;0;0.0057;0.7704;0.4647;0.0158;0;0;0;0;La31.75Lo69.25;WS10M;a1985
I123;0;0.0008;0.5063;0.6926;0.0377;0.0002;0;0;0;La31.75Lo69.25;WS10M;a1986
I124;0;0.006;0.7766;0.4592;0.0154;0;0;0;0;La31.75Lo69.25;WS10M;a1987
I125;0;0.0047;0.7454;0.4868;0.0173;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1988
I126;0;0.006;0.7766;0.4592;0.0154;0;0;0;0;La31.75Lo69.25;WS10M;a1989
I127;0;0.0072;0.8007;0.4376;0.0141;0;0;0;0;La31.75Lo69.25;WS10M;a1990
I128;0;0.0063;0.7827;0.4538;0.0151;0;0;0;0;La31.75Lo69.25;WS10M;a1991
I129;0;0.0023;0.6469;0.5719;0.0242;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1992
I130;0;0.0043;0.7326;0.4979;0.0181;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1993
I131;0;0.0024;0.6536;0.5662;0.0237;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1994
I132;0;0.0031;0.6869;0.5375;0.0212;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1995
I133;0;0.0116;0.8623;0.3803;0.0108;0;0;0;0;La31.75Lo69.25;WS10M;a1996
I134;0;0.0021;0.6335;0.5834;0.0253;0.0001;0;0;0;La31.75Lo69.25;WS10M;a1997
I135;0;0.0232;0.9387;0.2997;0.0071;0;0;0;0;La31.75Lo69.25;WS10M;a1998
I136;0;0.0075;0.8066;0.4322;0.0138;0;0;0;0;La31.75Lo69.25;WS10M;a1999
I137;0;0.0052;0.758;0.4757;0.0166;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2000
I138;0;0.0043;0.7326;0.4979;0.0181;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2001
I139;0;0.0037;0.7132;0.5148;0.0194;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2002
I140;0;0.006;0.7766;0.4592;0.0154;0;0;0;0;La31.75Lo69.25;WS10M;a2003
I141;0;0.0047;0.7454;0.4868;0.0173;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2004
I142;0;0.0031;0.6869;0.5375;0.0212;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2005
I143;0;0.0039;0.7197;0.5092;0.019;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2006
I144;0;0.0082;0.8183;0.4216;0.0131;0;0;0;0;La31.75Lo69.25;WS10M;a2007
I145;0;0.0047;0.7454;0.4868;0.0173;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2008
I146;0;0.006;0.7766;0.4592;0.0154;0;0;0;0;La31.75Lo69.25;WS10M;a2009
I147;0;0.005;0.7517;0.4812;0.0169;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2010
I148;0;0.0043;0.7326;0.4979;0.0181;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2011
I149;0;0.0089;0.8297;0.4111;0.0125;0;0;0;0;La31.75Lo69.25;WS10M;a2012
I150;0;0.0045;0.739;0.4923;0.0177;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2013
I151;0;0.0045;0.739;0.4923;0.0177;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2014
I152;0;0.0036;0.7066;0.5205;0.0198;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2015
I153;0;0.0132;0.8776;0.3654;0.0101;0;0;0;0;La31.75Lo69.25;WS10M;a2016
I154;0;0.0036;0.7066;0.5205;0.0198;0.0001;0;0;0;La31.75Lo69.25;WS10M;a2017
I155;0;0.0065;0.7888;0.4483;0.0147;0;0;0;0;La31.75Lo69.25;WS10M;a2018
I156;0;0.0068;0.7948;0.4429;0.0144;0;0;0;0;La31.75Lo69.25;WS10M;a2019
I157;0;0;0.0491;0.9698;0.264;0.0037;0;0;0.0001;La31.75Lo68.75;WS50M;a1981
I158;0;0;0.0427;0.9574;0.2816;0.0041;0;0;0.0002;La31.75Lo68.75;WS50M;a1982
I159;0;0;0.0416;0.9546;0.2852;0.0042;0;0;0.0002;La31.75Lo68.75;WS50M;a1983
I160;0;0;0.0371;0.9429;0.2999;0.0046;0;0;0.0002;La31.75Lo68.75;WS50M;a1984
I161;0;0;0.0491;0.9698;0.264;0.0037;0;0;0.0001;La31.75Lo68.75;WS50M;a1985
