ID;LOCALIDAD;PARAMETRO;MES;Viento
I0303;La29.25Lo69.25;WS50M;febrero;2.9
I0304;La29.25Lo69.25;WS10M;febrero;2.68
I0305;La29.25Lo68.75;WS50M;febrero;3.42
I0306;La29.25Lo68.75;WS10M;febrero;3.28
I0307;La29.25Lo68.25;WS50M;febrero;3.5
I0308;La29.25Lo68.25;WS10M;febrero;2.99
I0309;La29.25Lo67.75;WS50M;febrero;3.33
I0310;La29.25Lo67.75;WS10M;febrero;2.9
I0311;La29.25Lo67.25;WS50M;febrero;3.45
I0312;La29.25Lo67.25;WS10M;febrero;3.02
I0313;La29.25Lo66.75;WS50M;febrero;3.92
I0314;La29.25Lo66.75;WS10M;febrero;3.19
I0315;La29.25Lo66.25;WS50M;febrero;5.01
I0316;La29.25Lo66.25;WS10M;febrero;3.74
I0317;La29.25Lo65.75;WS50M;febrero;5.37
I0318;La29.25Lo65.75;WS10M;febrero;3.67
I0319;La29.25Lo65.25;WS50M;febrero;5.34
I0320;La29.25Lo65.25;WS10M;febrero;3.28
I0321;La28.75Lo69.75;WS50M;febrero;3.07
I0322;La28.75Lo69.75;WS10M;febrero;3.03
I0323;La28.75Lo69.25;WS50M;febrero;3.4
I0324;La28.75Lo69.25;WS10M;febrero;2.96
I0325;La28.75Lo68.75;WS50M;febrero;3.68
I0326;La28.75Lo68.75;WS10M;febrero;3.42
I0327;La28.75Lo68.25;WS50M;febrero;3.18
I0328;La28.75Lo68.25;WS10M;febrero;2.83
I0329;La28.75Lo67.75;WS50M;febrero;2.94
I0330;La28.75Lo67.75;WS10M;febrero;2.64
I0331;La28.75Lo67.25;WS50M;febrero;3.04
I0332;La28.75Lo67.25;WS10M;febrero;2.66
I0333;La28.75Lo66.75;WS50M;febrero;3.6
I0334;La28.75Lo66.75;WS10M;febrero;2.91
I0335;La28.75Lo66.25;WS50M;febrero;4.2
I0336;La28.75Lo66.25;WS10M;febrero;3.27
I0337;La28.75Lo65.75;WS50M;febrero;4.69
I0338;La28.75Lo65.75;WS10M;febrero;3.28
I0339;La28.75Lo65.25;WS50M;febrero;4.74
I0340;La28.75Lo65.25;WS10M;febrero;2.87
I0341;La28.25Lo69.75;WS50M;febrero;3.24
I0342;La28.25Lo69.75;WS10M;febrero;3.33
I0343;La28.25Lo69.25;WS50M;febrero;3.81
I0344;La28.25Lo69.25;WS10M;febrero;3.36
I0345;La28.25Lo68.75;WS50M;febrero;3.93
I0346;La28.25Lo68.75;WS10M;febrero;3.47
I0347;La28.25Lo68.25;WS50M;febrero;3.03
I0348;La28.25Lo68.25;WS10M;febrero;2.88
I0349;La28.25Lo67.75;WS50M;febrero;3.02
I0350;La28.25Lo67.75;WS10M;febrero;2.84
I0351;La28.25Lo67.25;WS50M;febrero;3.21
I0352;La28.25Lo67.25;WS10M;febrero;2.73
I0353;La28.25Lo66.75;WS50M;febrero;3.54
I0354;La28.25Lo66.75;WS10M;febrero;2.74
I0355;La28.25Lo66.25;WS50M;febrero;4.11
I0356;La28.25Lo66.25;WS10M;febrero;3.23
I0357;La28.25Lo65.75;WS50M;febrero;4.03
I0358;La28.25Lo65.75;WS10M;febrero;3.03
I0359;La28.25Lo65.25;WS50M;febrero;4.23
I0360;La28.25Lo65.25;WS10M;febrero;2.81
I0361;La27.75Lo69.75;WS50M;febrero;3.16
I0362;La27.75Lo69.75;WS10M;febrero;3.35
I0363;La27.75Lo69.25;WS50M;febrero;3.64
I0364;La27.75Lo69.25;WS10M;febrero;3.47
I0365;La27.75Lo68.75;WS50M;febrero;4.13
I0366;La27.75Lo68.75;WS10M;febrero;3.52
I0367;La27.75Lo68.25;WS50M;febrero;2.79
I0368;La27.75Lo68.25;WS10M;febrero;2.74
I0369;La27.75Lo67.75;WS50M;febrero;3.07
I0370;La27.75Lo67.75;WS10M;febrero;3.01
I0371;La27.75Lo67.25;WS50M;febrero;3.34
I0372;La27.75Lo67.25;WS10M;febrero;2.99
I0373;La27.75Lo66.75;WS50M;febrero;3.46
I0374;La27.75Lo66.75;WS10M;febrero;2.91
I0375;La27.75Lo66.25;WS50M;febrero;4.4
I0376;La27.75Lo66.25;WS10M;febrero;3.54
I0377;La27.75Lo65.75;WS50M;febrero;3.79
I0378;La27.75Lo65.75;WS10M;febrero;2.96
I0379;La27.75Lo65.25;WS50M;febrero;4.03
I0380;La27.75Lo65.25;WS10M;febrero;2.84
I0381;La27.25Lo69.75;WS50M;febrero;3.31
I0382;La27.25Lo69.75;WS10M;febrero;3.45
I0383;La27.25Lo69.25;WS50M;febrero;3.53
I0384;La27.25Lo69.25;WS10M;febrero;3.54
I0385;La27.25Lo68.75;WS50M;febrero;3.97
I0386;La27.25Lo68.75;WS10M;febrero;3.55
I0387;La27.25Lo68.25;WS50M;febrero;2.73
I0388;La27.25Lo68.25;WS10M;febrero;2.6
I0389;La27.25Lo67.75;WS50M;febrero;3.12
I0390;La27.25Lo67.75;WS10M;febrero;3.02
I0391;La27.25Lo67.25;WS50M;febrero;3.42
I0392;La27.25Lo67.25;WS10M;febrero;3.16
I0393;La27.25Lo66.75;WS50M;febrero;3.28
I0394;La27.25Lo66.75;WS10M;febrero;2.98
I0395;La27.25Lo66.25;WS50M;febrero;3.79
I0396;La27.25Lo66.25;WS10M;febrero;3.29
I0397;La27.25Lo65.75;WS50M;febrero;3.52
I0398;La27.25Lo65.75;WS10M;febrero;2.92
I0399;La27.25Lo65.25;WS50M;febrero;4.03
I0400;La27.25Lo65.25;WS10M;febrero;2.94
I0401;La31.75Lo69.75;WS50M;marzo;3.08
I0402;La31.75Lo69.75;WS10M;marzo;2.69
I0403;La31.75Lo69.25;WS50M;marzo;3.03
I0404;La31.75Lo69.25;WS10M;marzo;2.71
I0405;La31.75Lo68.75;WS50M;marzo;4.37
I0406;La31.75Lo68.75;WS10M;marzo;3.61
I0407;La31.75Lo68.25;WS50M;marzo;5.08
I0408;La31.75Lo68.25;WS10M;marzo;3.9
I0409;La31.75Lo67.75;WS50M;marzo;5.44
I0410;La31.75Lo67.75;WS10M;marzo;4.07
I0411;La31.75Lo67.25;WS50M;marzo;5.64
I0412;La31.75Lo67.25;WS10M;marzo;4.12
I0413;La31.75Lo66.75;WS50M;marzo;5.66
I0414;La31.75Lo66.75;WS10M;marzo;4.03
I0415;La31.75Lo66.25;WS50M;marzo;5.47
I0416;La31.75Lo66.25;WS10M;marzo;3.87
I0417;La31.75Lo65.75;WS50M;marzo;4.63
I0418;La31.75Lo65.75;WS10M;marzo;3.08
I0419;La31.75Lo65.25;WS50M;marzo;4.31
I0420;La31.75Lo65.25;WS10M;marzo;2.92
I0421;La31.25Lo69.75;WS50M;marzo;3.18
I0422;La31.25Lo69.75;WS10M;marzo;2.72
I0423;La31.25Lo69.25;WS50M;marzo;3.14
I0424;La31.25Lo69.25;WS10M;marzo;2.83
I0425;La31.25Lo68.75;WS50M;marzo;4.1
I0426;La31.25Lo68.75;WS10M;marzo;3.43
I0427;La31.25Lo68.25;WS50M;marzo;4.92
I0428;La31.25Lo68.25;WS10M;marzo;3.86
